Workload, Background, TargetDuration, Repetition, duration (ns), Core 3 cpu cycles, Core 3 instructions, Core 3 branch instructions, Core 3 branch misses, Core 3 L1 i-cache loads, Core 3 L1 i-cache misses, Core 3 L1 d-cache loads, Core 3 L1 d-cache misses, L3 cache loads, L3 cache misses, Core 0 cpu cycles, Core 0 instructions, Core 0 L1 i-cache misses, Core 0 L1 d-cache misses, Core 1 cpu cycles, Core 1 instructions, Core 1 L1 i-cache misses, Core 1 L1 d-cache misses, Core 2 cpu cycles, Core 2 instructions, Core 2 L1 i-cache misses, Core 2 L1 d-cache misses, 
ackermann, gray, 5, 1, 5126939273, 10604784918, 21995204080, 6587846137, 8786477, 43769287, 1422757, 4430108306, 320975511, 6098658, 4527700, 768346644, 466579779, 7073335, 12460736, 253772897, 118644340, 1725275, 2181714, 11961935098, 10491833866, 2050416, 2601028, 
hamming, gray, 5, 1, 5020842126, 10988453933, 30592331447, 1058096495, 442568, 29242838, 1358073, 972286892, 1704711, 3619169, 3038857, 588771604, 358801268, 4245500, 8840862, 243436123, 125211152, 1636142, 1933792, 12340332939, 10228539839, 2007569, 2657808, 
gray, gray, 5, 1, 5018417231, 11626210085, 10338336789, 507633787, 529453, 29926929, 1428909, 49503501, 1813190, 2920985, 2989974, 592122048, 368282627, 3939604, 9204065, 241771709, 128560018, 1623906, 2240456, 12977225632, 10204483093, 1972243, 2657753, 
hanoi, gray, 5, 1, 5020084003, 12171042237, 20569044193, 3430936329, 6938866, 31668622, 1568364, 8044017477, 1815183, 3647047, 3021893, 530318334, 335551858, 5066720, 8442852, 242687016, 107393173, 1674207, 1865582, 13520959867, 10191893505, 1941965, 2873514, 
branch, gray, 5, 1, 5018504876, 12712673731, 4519521755, 399548168, 126379441, 3509174038, 45898719, 4487068017, 2144107, 3477269, 2823231, 546147555, 315823000, 4815315, 8351590, 274713428, 95291292, 1837233, 2258716, 13387883623, 10174821391, 2000202, 2765990, 
longjmp, gray, 5, 1, 5018601172, 13310531380, 20389885005, 4311506353, 729886, 33804761, 1870550, 9028120846, 2086846, 4080114, 3181389, 624840861, 385230672, 4418536, 8812091, 258801226, 103412346, 1799194, 2215051, 11789284400, 10253287940, 2022383, 2354262, 
funccall, gray, 5, 1, 5018925054, 13194307032, 12275630912, 3124950520, 638466, 1115372155, 1843770, 5469652180, 1951656, 3684573, 3466298, 649928073, 379867279, 4500973, 9773416, 252321055, 111538129, 1727651, 2206072, 12358961145, 10236108732, 2040426, 2612826, 
funcret, gray, 5, 1, 5018602078, 13688682998, 7920747691, 3925600721, 852606, 33687724, 1817908, 3310362476, 2035006, 3359373, 2962170, 535509296, 334205212, 4533045, 8519620, 247613438, 118254643, 1669722, 2274889, 12851847849, 10211213053, 1963014, 2556837, 
cache-l1, gray, 5, 1, 5018449451, 13349282815, 11746556385, 2755734635, 544528, 33710116, 1723638, 3812782072, 14576340, 3159530, 2719386, 540524221, 341700288, 3857008, 8285846, 243445228, 125150493, 1639101, 2250838, 13344726457, 10188407501, 1984313, 2846889, 
cache-l2, gray, 5, 1, 5018558997, 10010239309, 6808825481, 1593933699, 445602, 33713433, 2921400, 3266691308, 1675582082, 4043262, 3461362, 640845173, 364085606, 4615968, 9284080, 250375993, 111348749, 1719825, 2129942, 11366274982, 10274436376, 2012379, 2426019, 
cache-l3, gray, 5, 1, 5018903369, 10519268421, 5032960710, 1188065126, 509034, 59503853, 4870141, 1925137552, 857442380, 3905625, 66068056, 642674701, 333038064, 4949534, 9181288, 248792511, 118519087, 1680821, 2194176, 11887436751, 10246350497, 1997594, 2458292, 
stream-mem, gray, 5, 1, 5535991497, 13137240495, 1359931309, 158609599, 3662018, 73740721, 3244536, 778417624, 184059814, 2984570, 221253337, 622333404, 352443909, 4381401, 8767135, 266680643, 138939301, 1783503, 2348981, 13789169442, 11283758388, 2184745, 2864193, 
matrix-mult-l1, gray, 5, 1, 5028541773, 12351731202, 16705818469, 2377517104, 2057054, 37384081, 1786663, 9554696435, 1338498348, 3722436, 3732495, 703894215, 412564637, 4606512, 10220504, 241372816, 110511698, 1664253, 1845474, 13706150112, 10197488570, 1949027, 2966705, 
matrix-mult-l2, gray, 5, 1, 5026444526, 12872218750, 13698781115, 1690915830, 31988118, 236463673, 8935991, 9348586454, 1348570223, 3524445, 3555073, 589980226, 345864934, 4385041, 8694343, 274157233, 97990162, 1805262, 2257987, 13551389586, 10195556904, 2007816, 2884381, 
matrix-mult-l3, gray, 5, 1, 5027123337, 13345229081, 6770239151, 794525031, 7415074, 102876362, 7777722, 4943514944, 719986954, 2669877, 699550688, 646710716, 322836599, 3887249, 7843047, 276687695, 104897281, 1802895, 2146551, 11895615718, 10278594720, 2016516, 2457705, 
matrix-mult-mem, gray, 5, 1, 5033658569, 13229200500, 7110021220, 813073373, 10401836, 134765827, 7828500, 5036381527, 692701271, 3475776, 675626206, 681322697, 333425949, 5213015, 8409895, 260808722, 112812399, 1734615, 2223739, 12462976830, 10263117036, 1996956, 2603682, 
matrix-trans-l1, gray, 5, 1, 5027143244, 13856151866, 25557097184, 3707292411, 42959691, 38230078, 2192127, 7425359279, 625036730, 3655516, 3783229, 659025409, 395835674, 4924578, 9791522, 246901948, 120604497, 1680049, 2116392, 13019739662, 10238108486, 2003802, 2826771, 
