Workload, Background, TargetDuration, Repetition, duration (ns), Core 3 cpu cycles, Core 3 instructions, Core 3 branch instructions, Core 3 branch misses, Core 3 L1 i-cache loads, Core 3 L1 i-cache misses, Core 3 L1 d-cache loads, Core 3 L1 d-cache misses, L3 cache loads, L3 cache misses, Core 0 cpu cycles, Core 0 instructions, Core 0 L1 i-cache misses, Core 0 L1 d-cache misses, Core 1 cpu cycles, Core 1 instructions, Core 1 L1 i-cache misses, Core 1 L1 d-cache misses, Core 2 cpu cycles, Core 2 instructions, Core 2 L1 i-cache misses, Core 2 L1 d-cache misses, 
system-noise, system-noise, 5, 1, 5003234823, 227366224, 123985064, 25408882, 736271, 42372982, 1340967, 52105551, 1922414, 2758493, 2174102, 507012951, 288452293, 3877646, 7210883, 242730568, 106445717, 1446598, 1732636, 242826311, 107327222, 1455578, 2019779, 
system-noise, system-noise, 6, 1, 6003215482, 295957654, 151620511, 30452881, 796824, 50151766, 2116444, 65998236, 2605750, 3327621, 2970184, 647762235, 373902864, 4502120, 9177150, 271945921, 146637022, 1739843, 2119595, 279814237, 134511178, 1751246, 2358914, 
system-noise, system-noise, 7, 1, 7002941323, 342157117, 169726250, 34196347, 871358, 56490991, 2519062, 75097147, 2962401, 4341152, 2745440, 645695571, 355084334, 6365818, 8674723, 322888937, 161886765, 2022209, 2233671, 338662581, 146027155, 2169520, 2700773, 
system-noise, system-noise, 8, 1, 8003115786, 393809995, 197354451, 39742350, 1037009, 66011290, 2843766, 87247348, 3508297, 3236523, 2647315, 713829244, 430823855, 5229499, 9762438, 364088171, 188314969, 2264517, 2853948, 380178848, 172469414, 2433416, 3207494, 
system-noise, system-noise, 9, 1, 9003123545, 437796675, 229843794, 46435995, 1294228, 77802187, 2990196, 102046370, 4009425, 4775373, 3663499, 871107447, 485312897, 7124455, 11504783, 450540493, 184799475, 2815752, 3304483, 414322701, 212463818, 2585882, 3571846, 
system-noise, system-noise, 10, 1, 10003193542, 451336535, 220662462, 45026686, 1292137, 76665224, 2661201, 94538995, 3406847, 5929959, 4357443, 1114334084, 649519334, 8604091, 15653270, 458704476, 221545450, 2769987, 3406893, 474280886, 205893833, 2860762, 3835249, 
system-noise, system-noise, 11, 1, 11003406477, 540430987, 293830522, 59089863, 1656135, 99066533, 3679841, 131452829, 5395538, 6517878, 5020913, 1135259925, 614074034, 10095194, 15480591, 514223440, 257262265, 3198917, 3795413, 514049593, 259140464, 3200596, 4412576, 
system-noise, system-noise, 12, 1, 12003107882, 539985717, 293578676, 60316431, 1747772, 101538855, 3263820, 126462905, 4616877, 5014198, 3807548, 1084006300, 603026882, 8055154, 14486209, 546791676, 283361872, 3326215, 4335953, 545149710, 285617979, 3362404, 4658623, 
system-noise, system-noise, 13, 1, 13003253030, 639886019, 330015041, 66238829, 1750936, 109836571, 4455997, 146770115, 5930086, 5237438, 3861330, 1214805178, 649345930, 8133724, 14729026, 590473435, 308956866, 3645537, 4584997, 605719750, 295307863, 3822395, 5213130, 
system-noise, system-noise, 14, 1, 14003453862, 682660417, 369756035, 74514103, 2016118, 123194231, 4607421, 165427331, 6565794, 7999713, 6623795, 1409454055, 818136732, 11419831, 20799250, 652951710, 324368078, 4008662, 4826728, 651852584, 325667979, 3975692, 5702416, 
system-noise, system-noise, 5, 2, 5003276571, 228872161, 120729943, 24871501, 695036, 41479007, 1446270, 50966196, 1728981, 3973167, 3010846, 611000599, 362906450, 4694787, 8577734, 265540567, 90270270, 1669887, 1934862, 230068445, 118417461, 1442641, 1968694, 
system-noise, system-noise, 6, 2, 6003161922, 296250587, 142573561, 28606392, 717397, 47208448, 2209169, 62431689, 2514147, 3142363, 2420915, 585501117, 343619392, 4156224, 7999244, 281615672, 132966407, 1718237, 2131245, 297474562, 117227928, 1897949, 2343105, 
