,workload,cycles rate,branches rate,branch misses rate,L1-I loads rate,L1-I misses rate,L1-D loads rate,L1-D misses rate,L3 loads rate,L3 misses rate,cycles offset,branches offset,branch misses offset,L1-I loads offset,L1-I misses offset,L1-D loads offset,L1-D misses offset,L3 loads offset,L3 misses offset,cycles score,branches score,branch misses score,L1-I loads score,L1-I misses score,L1-D loads score,L1-D misses score,L3 loads score,L3 misses score
0,ackermann,0.6608724423146508,0.2996564350548544,0.00042636211286281724,0.0020237732950860094,6.321619848267676e-05,0.2012866413454986,0.017416375813273748,3.8182417091257475e-05,0.008643866635205418,-1455977312.6396942,-8767590.385671616,1360882.8776929248,21519829.240737557,932318.6014804947,19136525.73237133,-23774430.69194293,3229005.023247361,-135259461.18718767,0.968944694500293,0.9999944239715691,0.8899578619293619,0.5140894580403373,0.3653911192890601,0.9999316114087149,0.9883259258636874,0.1338297024855004,0.04703433515001997
1,hamming,0.4617337752577986,0.03454017694913655,1.2715163838774566e-05,0.0009030531029960938,4.0338114489148934e-05,0.03149596812504738,5.025664717282934e-05,4.714413818738589e-05,0.006041313602524785,-1158528861.4669533,12006577.254092216,336276.69477633445,19841457.821383268,975745.9496493,35164644.49112177,1641919.026854327,2319365.9497334925,-133382214.47751084,0.9729394085198492,0.9996548731641588,0.36010940167769445,0.3599687890656261,0.31922578805071844,0.9969411334716277,0.19600292990022516,0.09780851297048533,0.047213682309973914
2,gray,1.3593984279450781,0.04888320029671962,4.3939203311390876e-05,0.0027034475789646933,0.00011539079133262911,0.003931967182597888,0.0001650002643992385,8.818838509576278e-05,0.01779137228388957,-1444374324.4434586,10581942.644088387,322392.15003204753,18776594.525926523,1003825.9242708739,34314710.569419906,1398380.336305263,2907443.1856376845,-136528165.7206158,0.9794833676752592,0.9987052396032686,0.4231695020550066,0.3579830573418672,0.3003008946240775,0.3370643750640777,0.21871291391905345,0.3077997059711224,0.04788712692593344
3,branch,3.0326070568284975,0.0879888765157641,0.028078748005987655,0.7699963204582407,0.008489895765702185,0.9983437282317384,0.00044371296438042786,0.0001703945113401385,0.0351516108880622,-1287525604.5972633,6646879.231886148,-1367730.6514921486,18374621.00501728,-22366099.43198213,-43595167.813529015,1216180.4821154033,3295042.2529680734,-96543712.28527537,0.9763266643278672,0.9989671940477131,0.9996149459299191,0.9972519168182228,0.24562927398317178,0.9987283169996082,0.2851026916707494,0.13952384006027618,0.03627959593928176
4,longjmp,0.6140753530357699,0.21151184452038743,2.4888446352657695e-05,0.0011189732652391734,5.3711275684664944e-05,0.44252539943441244,6.859643853893306e-05,4.074154306710172e-05,0.009291537440534932,133195213.10226822,-2406134.0509138107,433237.60446947906,25949965.160913497,1300058.4484567263,5164380.801269531,1930756.875606264,3230587.982493816,-163437197.76285225,0.9339372042305264,0.9999997173185297,0.495379298117944,0.2839815043325472,0.27534866755799836,0.9999995766407282,0.17219470954882088,0.08672147931870877,0.06029191288336799
5,funccall,1.111789923903414,0.2547002849665056,-2.5463202539535704e-06,0.08899728676145696,0.00010912812797137703,0.4450487758759376,0.00013699635200436832,5.091011187268945e-05,0.014259031695618719,-1138987555.0437737,-4763829.029707909,2031366.1825116544,29801645.457327127,1025648.5858010799,10564366.50863266,1410208.4935946842,3818446.308678785,-123214716.7978572,0.9708116037159321,0.9999947549768791,2.7268689060888637e-05,0.998261591533686,0.3422862972065901,0.9999648007048594,0.22296383553103463,0.01759702032121535,0.044741335219523726
6,funcret,1.697010480802807,0.49682869762288406,8.794035756860653e-05,0.0033564196145003,0.0001612122823179441,0.41733520502739924,0.00020120954183918066,0.00011092352931146687,0.02257123093656532,-481463477.9557495,-23822655.69037628,344729.53923187754,20338957.892739825,973994.8620067737,5358921.44432354,1521544.902230898,3349476.314649457,-129788240.26589102,0.9848099614130178,0.9999155598260467,0.6553515910703328,0.34962447325187407,0.34791303025435893,0.9999966422282329,0.21054723096935468,0.020298604585044844,0.046201238696859104
7,cache-l1,1.186056894875418,0.23511484091206147,3.4837315590097456e-05,0.0023792659309392066,0.00010827273618468217,0.3242955496199765,0.001263601373114764,0.00010419750261862554,0.015244535619486767,-1440717539.7537117,-4179872.777235985,334678.90319342376,18538139.92698586,966331.642245872,18169219.654800415,307754.39164424315,2944945.061225444,-129795881.83568394,0.9802662565114283,0.9999716947033599,0.38588537368493825,0.3763876022669901,0.340671679922083,0.9999267171444582,0.9088580760268901,0.011563342099955798,0.04648790716107599
8,cache-l3,2.048138417504509,0.23373046009528,0.0001229714160805426,0.015068395701523631,0.0014726602207729208,0.3389372673632621,0.12425493565772686,0.0001685067788399987,-0.05724432322906763,6959994552.489435,-1593478.8618075848,199689.117059074,7616844.35724701,-315495.13690653816,49433460.518267155,31827005.850210905,3269255.9760279823,814610844.9939635,0.5622773000451182,0.9997404422136829,0.739506194246375,0.9010914513969359,0.9255691637979147,0.9934321159910238,0.947412000272646,0.11994077518525592,0.11199020308472618
9,stream-mem,5.214634574603217,0.12637030238801336,0.000533898805009812,0.05883938053076445,0.003998168611874537,0.9111366533683455,0.3160654469909178,0.00013836507394585546,0.05373002598440583,12587140622.558968,-9924935.083686173,3097539.690189181,8301061.921584681,-1374879.0916574672,-474867736.95651984,-258003961.84721798,4187518.5527835656,540902408.1824176,0.22114572495623164,0.9992509511575648,0.9430692719645769,0.9117832453077694,0.9529585421091469,0.9960079579588285,0.9987392183019967,0.012545183818585492,0.00853232074961785
