Workload, Background, TargetDuration, Repetition, duration (ns), Core 3 cpu cycles, Core 3 instructions, Core 3 branch instructions, Core 3 branch misses, Core 3 L1 i-cache loads, Core 3 L1 i-cache misses, Core 3 L1 d-cache loads, Core 3 L1 d-cache misses, L3 cache loads, L3 cache misses, Core 0 cpu cycles, Core 0 instructions, Core 0 L1 i-cache misses, Core 0 L1 d-cache misses, Core 1 cpu cycles, Core 1 instructions, Core 1 L1 i-cache misses, Core 1 L1 d-cache misses, Core 2 cpu cycles, Core 2 instructions, Core 2 L1 i-cache misses, Core 2 L1 d-cache misses, 
ackermann, system-noise, 5, 1, 5157155680, 9213910144, 18933093511, 5663101343, 10817938, 62763122, 2524712, 3826498174, 276278066, 5731961, 2786328, 623667447, 336147369, 3901745, 8103387, 258678866, 120885083, 1850559, 2319701, 271883877, 101883266, 1936478, 2331471, 
ackermann, system-noise, 5, 2, 5124478001, 12091237977, 18471553913, 5525196343, 8854008, 63302842, 2254143, 3746314177, 319706586, 3216018, 1876407, 469127385, 286784039, 2587071, 6394751, 249107652, 134468639, 1792968, 2389124, 250810873, 134588092, 1791736, 2479065, 
ackermann, system-noise, 5, 3, 5117496179, 11647381342, 18492345744, 5531135902, 9719408, 64106211, 2309514, 3739960491, 312516297, 3353691, 1927092, 512294596, 333979195, 2911399, 6949684, 253876515, 126777759, 1807691, 2327837, 255782370, 126978863, 1805433, 2373937, 
ackermann, system-noise, 5, 4, 5119849927, 11690816955, 18455366960, 5525647054, 9533870, 62685152, 2291503, 3745551372, 312566276, 3280604, 1892996, 453961865, 273108634, 2875756, 6529463, 253560900, 127503469, 1813856, 2380980, 254799975, 127612962, 1813409, 2382150, 
ackermann, system-noise, 5, 5, 5103465860, 11419032556, 18476221164, 5528463218, 9531861, 62195300, 2203599, 3740809483, 308371364, 3257805, 1876785, 430522529, 264600742, 2820765, 5884076, 270922512, 101873006, 1955138, 2329916, 251656820, 132784853, 1826623, 2483175, 
ackermann, system-noise, 5, 6, 5035190340, 9508531061, 18468528725, 5525206494, 10215671, 59860054, 2280651, 3734713184, 277134728, 3769201, 1887814, 550531145, 318201781, 3605524, 8092528, 245078259, 127082242, 1765464, 2235387, 258501009, 108116057, 1868179, 2228852, 
ackermann, system-noise, 6, 1, 6051885663, 12560005047, 22084018514, 6605888340, 11544366, 72660287, 2671215, 4462260804, 351770554, 5847587, 2937677, 569019539, 350299923, 4595047, 7672435, 293164946, 158870859, 2104295, 2803267, 303884920, 144773416, 2215408, 2824551, 
ackermann, system-noise, 6, 2, 6131659150, 14562092043, 22050396025, 6601517573, 10993187, 74896336, 2623662, 4478690965, 383270525, 3836665, 2289105, 553765685, 341678895, 3339362, 7479586, 305456039, 150152747, 2170650, 2803315, 306733675, 150203982, 2169903, 2951158, 
ackermann, system-noise, 6, 3, 6133586512, 14722735508, 22103125825, 6613601490, 10940899, 75857714, 2624524, 4472096102, 385366550, 4132994, 2365180, 572822133, 349663509, 3229150, 7460420, 309877640, 143037444, 2257839, 2836401, 295658315, 153897341, 2186175, 2373886, 
ackermann, system-noise, 6, 4, 6126277622, 14278969626, 22075258062, 6601122941, 11569035, 76507483, 2727048, 4474823513, 378786939, 4114842, 2392908, 576282777, 345792106, 3264626, 7482224, 307586921, 145611192, 2175567, 2782311, 309403464, 145683685, 2183457, 2810467, 
ackermann, system-noise, 6, 5, 6079366367, 13040577396, 22050364451, 6600662039, 12130876, 72687096, 2610926, 4471316203, 358696956, 5159562, 2359110, 602552051, 406233089, 5525139, 9433299, 296350353, 136793769, 2168542, 2326634, 300681113, 152465079, 2165587, 2846599, 
ackermann, system-noise, 6, 6, 6133444293, 14568693442, 22100129762, 6610281931, 11212938, 76202590, 2678345, 4471956303, 382959078, 3976044, 2318161, 590514218, 351914658, 3195650, 8187906, 297470339, 161852508, 2162279, 2780411, 299490562, 162056949, 2164467, 2978620, 
ackermann, system-noise, 7, 1, 7085460518, 15846888841, 25684087920, 7685976660, 13041110, 85117717, 3062541, 5194314137, 427758109, 7130759, 3418290, 729080174, 412696441, 5313932, 9719706, 338925425, 169934460, 2512681, 2535437, 346126674, 185634087, 2504145, 3377642, 
