,workload,cycles rate,branches rate,branch misses rate,L1-I loads rate,L1-I misses rate,L1-D loads rate,L1-D misses rate,L3 loads rate,L3 misses rate,cycles offset,branches offset,branch misses offset,L1-I loads offset,L1-I misses offset,L1-D loads offset,L1-D misses offset,L3 loads offset,L3 misses offset,cycles score,branches score,branch misses score,L1-I loads score,L1-I misses score,L1-D loads score,L1-D misses score,L3 loads score,L3 misses score
0,ackermann,0.6417313324905587,0.29933208687314866,0.000497689146437281,0.0030750698702324167,0.00010510895950013392,0.20213648868676004,0.01708492402863456,3.5185011499583935e-05,1.1041320776804844e-05,-574417788.8054733,-3707278.2952919006,441014.57132060453,5997037.238136485,336377.27148358803,6489107.34356308,-9240710.0384624,3337450.195512263,1985048.1902564322,0.9688066103755598,0.9999975396868332,0.9861749224892965,0.9964390915973461,0.9967265804205901,0.999992566744503,0.988234336386424,0.059066164766345075,0.06874066345957663
1,hamming,0.4611723930316625,0.03488961541645638,2.174437999862837e-05,0.001560156925285793,7.166783836818748e-05,0.032454509898088,0.0001056394909301198,2.5971230035006437e-05,9.162786600273977e-06,-860007461.4069786,4448389.341487169,146881.99556000624,5528134.295225039,304431.3234751499,14175757.650802612,441737.8597223535,3167486.3541518142,1867301.8077548752,0.9721448348683084,0.9999828903218849,0.9687230947956529,0.9712073650860721,0.9768885342839463,0.9998530692145013,0.9423447475237064,0.1472377459162195,0.13306245038788778
2,gray,1.3987297196341097,0.049889191930344044,7.3008392612276e-05,0.004770633538268275,0.00020875969810660815,0.007130802678391428,0.0003455108823101703,5.8853240331675006e-05,1.9108387744608757e-05,-1883032535.0645485,2580463.406912446,93871.44705445878,2329775.756518021,320814.26800562115,8471248.078046024,-63007.097890278324,3361532.9252393767,1974153.9785478641,0.9817128330763757,0.9999783466736396,0.9848329587859143,0.9905414413637733,0.9978430139449129,0.9906030941501824,0.9734636237329882,0.11540494586317694,0.08065523731611988
3,branch,3.088460511493053,0.08947018980658589,0.027785795980361485,0.7545301476142202,0.0009470143779687088,0.9888765172854134,0.0008177522918205869,0.00010933439868827831,3.409026542040975e-05,-1701347669.6000023,1799083.131959796,-388704.86622849107,99285843.85918903,542945.0194550967,1067730.4909467697,-45583.04380033258,3804560.2521670572,2106456.636658343,0.9765920939542638,0.9999651419675294,0.999988559011565,0.997453187479974,0.990968109677413,0.9986182127064291,0.9699787800200002,0.032670136286722884,0.03797023341616623
4,longjmp,0.6370537964908929,0.2114499124848707,4.007993716542188e-05,0.002203654201941514,0.00010476768897450665,0.4426559507287542,0.00016239795112406045,3.830245553275551e-05,9.429422088644824e-06,-121064861.23674393,-1467609.9762029648,179638.9470318572,7589875.05496186,456716.79343770025,2099972.398218155,311044.23890661914,3516881.326418105,2094269.4217377512,0.9307363294608995,0.9999999812235366,0.9581819536056804,0.937145004812984,0.9476723490092961,0.999999850615438,0.9206392140753037,0.034052130343178444,0.029711580659450457
5,funccall,1.1507130240459988,0.2543579041741232,0.00011112103953320091,0.0889766614752837,0.00019169186706058456,0.4456580774651975,0.0002864909359132669,3.0917587668448534e-05,1.0821416799330779e-05,-1791433191.6340065,-1432573.3577098846,-408888.11148972553,33333813.291826963,280823.6244629435,-2306798.6689243317,-46018.88691989798,4435875.410526004,2251155.729859978,0.975370817768439,0.9999999021266346,0.06667285416931035,0.9982048393626282,0.9975904209508926,0.9999729897132157,0.9711099547855437,0.002719214142796189,0.005687222903435818
6,funcret,1.7127665942851569,0.49425452402787134,0.00012367583981853048,0.005932031088319658,0.0002805955738093496,0.4177869419309043,0.0004242305833487705,0.00011789026223941493,3.198007055128949e-05,-663161518.2954025,-8433739.105517387,131987.89841654012,4908240.779175594,272485.1238462436,2223740.807490349,145646.6357275499,3583419.0149416486,1990884.470535697,0.9813803264859969,0.9999987530108883,0.9928342647853402,0.991347161287037,0.9961205348629565,0.9999998535469878,0.9692737432581062,0.009774674349706136,0.026324555270522354
7,cache-l1,1.1918086384247195,0.23494374107340307,5.90961812590723e-05,0.004080035786899315,0.00018606712702753171,0.32508587021321456,0.0014575575440984039,0.00015492965879355242,4.9430666257934415e-05,-1422148733.506462,-3194726.509803772,125309.51962371916,3706160.9982409924,337099.9540397241,12048806.676539421,-1434121.3707359508,2555593.0761411847,1727729.332846467,0.9841623306764539,0.9999713426195701,0.9802147797301398,0.9827847523209068,0.9832567242444027,0.999947622074627,0.9800532841136993,0.010648962506295101,0.009761217416222268
8,cache-l3,2.5216034048982108,0.23278112266147444,0.00014080679351655384,0.016031162771873865,0.001520071922025867,0.3364843558773045,0.11982975394492656,0.0001610034425321034,0.014870087099563195,17359492.50094223,3742790.4290742874,183461.9386182092,8379364.681716263,-150907.4271971006,83056734.25416327,72239060.53860128,3118785.3950284002,13323607.69111009,0.8970707582108988,0.9997166924746035,0.9103639890217972,0.9753138435482254,0.9545050141247301,0.9906957733967452,0.9237542882249788,0.05619652334048908,0.37327427568186355
9,stream-mem,10.654893038366405,0.12686860257659552,0.0005619626047786215,0.06483834584448504,0.004288921453348999,0.9222725819815566,0.31375313689969225,0.00034952015414729023,0.2959648146966482,-6732491352.565926,-12125079.84884572,2989349.0598175577,-14740153.797164977,-2446363.5690230653,-513379873.85288,-249094357.174376,3270179.767477162,-221051829.33667934,0.9716410161372672,0.9993588790378323,0.9666544314306248,0.9619153556672689,0.9818292023586123,0.9932806231579343,0.9989476833977561,0.15292265130173655,0.9979246692967398
